Team,counts,area
Ha Noi,955,Hong River Delta
Hai Phong,605,Hong River Delta
Nghe An,572,North Central Coast
Nam Dinh,531,Hong River Delta
Hai Duong,510,Hong River Delta
VNU Hanoi,464,Hong River Delta
Ha Tinh,463,North Central Coast
Vinh Phuc,459,Hong River Delta
Thanh Hoa,426,North Central Coast
Ho Chi Minh,413,Southeast
VNU HCM,386,Southeast
Bac Giang,383,Northeast
HNUE,372,North Central Coast
Thai Nguyen,371,Northeast
Da Nang,368,South Central Coast
Quang Ninh,366,Northeast
Phu Tho,363,Northeast
Thua Thien Hue,345,North Central Coast
Ha Nam,335,Hong River Delta
Thai Binh,335,Hong River Delta
Binh Phuoc,327,Southeast
Ninh Binh,318,Hong River Delta
Hung Yen,291,Hong River Delta
Bac Ninh,287,Hong River Delta
Dong Nai,269,Southeast
Hoa Binh,264,Northwes
Ba Ria - Vung Tau,247,Southeast
Quang Binh,228,North Central Coast
Dak Lak,203,Central Highlands
Binh Dinh,202,South Central Coast
Lao Cai,192,Northwes
Lam Dong,178,Central Highlands
Quang Nam,170,South Central Coast
Yen Bai,166,Northwes
Tuyen Quang,156,Northeast
Khanh Hoa,154,South Central Coast
Can Tho,150,Mekong Delta
Vinh Uni,142,North Central Coast
Quang Ngai,125,South Central Coast
Dong Thap,124,Mekong Delta
Dien Bien,119,Northwes
Lang Son,116,Northeast
Kon Tum,111,Central Highlands
Quang Tri,111,North Central Coast
Gia Lai,110,Central Highlands
Phu Yen,106,South Central Coast
Ben Tre,105,Mekong Delta
VCVB,102,Northwes
Binh Duong,95,Southeast
Tien Giang,83,Mekong Delta
Son La,67,Northwes
Kien Giang,65,Mekong Delta
Binh Thuan,63,South Central Coast
Vinh Long,62,Mekong Delta
Ca Mau,58,Mekong Delta
Long An,58,Mekong Delta
Tay Ninh,55,Southeast
An Giang,44,Mekong Delta
Lai Chau,44,Northwes
Soc Trang,43,Mekong Delta
HCMUE,42,Southeast
Cao Bang,41,Northeast
Dak Nong,40,Central Highlands
Tra Vinh,37,Mekong Delta
Bac Lieu,32,Mekong Delta
Ninh Thuan,31,South Central Coast
Ha Giang,30,Northeast
Hau Giang,23,Mekong Delta
Bac Kan,17,Northeast
Hue Uni,8,North Central Coast
TTU,5,Mekong Delta
