,Team,counts_x,counts_y,area
0,Ha Noi,955,72,Hong River Delta
1,Hai Phong,605,35,Hong River Delta
2,Nghe An,572,30,North Central Coast
3,Nam Dinh,531,23,Hong River Delta
4,Hai Duong,510,17,Hong River Delta
5,VNU Hanoi,464,40,Hong River Delta
6,Ha Tinh,463,11,North Central Coast
7,Vinh Phuc,459,19,Hong River Delta
8,Thanh Hoa,426,21,North Central Coast
9,Ho Chi Minh,413,17,Southeast
10,VNU HCM,386,13,Southeast
11,Bac Giang,383,10,Northeast
12,HNUE,372,16,North Central Coast
13,Thai Nguyen,371,2,Northeast
14,Da Nang,368,7,South Central Coast
15,Quang Ninh,366,5,Northeast
16,Phu Tho,363,10,Hong River Delta
17,Thua Thien Hue,345,6,North Central Coast
18,Thai Binh,335,9,Hong River Delta
19,Ha Nam,335,7,Hong River Delta
20,Binh Phuoc,327,6,Southeast
21,Ninh Binh,318,5,Hong River Delta
22,Hung Yen,291,4,Hong River Delta
23,Bac Ninh,287,9,Hong River Delta
24,Dong Nai,269,1,Southeast
25,Hoa Binh,264,1,Northwes
26,Ba Ria - Vung Tau,247,2,Southeast
27,Quang Binh,228,5,North Central Coast
28,Dak Lak,203,1,Central Highlands
29,Binh Dinh,202,1,South Central Coast
30,Lao Cai,192,2,Northwes
31,Lam Dong,178,1,Central Highlands
32,Quang Nam,170,1,South Central Coast
33,Yen Bai,166,1,Northwes
34,Tuyen Quang,156,2,Northwes
35,Can Tho,150,2,Mekong Delta
36,Vinh Uni,142,1,North Central Coast
37,Dien Bien,119,1,Northwes
38,Lang Son,116,1,Northwes
39,Quang Tri,111,2,North Central Coast
40,Ben Tre,105,1,Mekong Delta
41,Son La,67,1,Northwes
42,Ca Mau,58,1,Mekong Delta
43,An Giang,44,1,Mekong Delta
44,Ha Giang,30,1,Northeast
