ID,Year,Team,School,Grade,Ethnic,Gender,Subject,Score,Prize
12.01.01.02,2012,An Giang,chuyen_Thoai_Ngoc_Hau_AnGiang,Grade 11,Kinh,Male,Mathematics,12.5,Consolation
12.01.03.05,2012,An Giang,chuyen_Thoai_Ngoc_Hau_AnGiang,Grade 12,Kinh,Male,Chemistry,23.25,Third
12.01.05.05,2012,An Giang,chuyen_Thoai_Ngoc_Hau_AnGiang,Grade 12,Kinh,Male,Informatics,35.1,First
12.01.06.02,2012,An Giang,chuyen_Thoai_Ngoc_Hau_AnGiang,Grade 12,Kinh,Female,Literature,14,Third
12.01.06.06,2012,An Giang,Long_Xuyen_AnGiang,Grade 12,Kinh,Male,Literature,12.5,Consolation
12.01.08.06,2012,An Giang,Vo_Thi_Sau_AnGiang,Grade 12,Kinh,Male,Geography,13.25,Consolation
12.02.01.02,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Male,Mathematics,13.5,Consolation
12.02.01.03,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Male,Mathematics,11.5,Consolation
12.02.03.04,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Male,Chemistry,23,Third
12.02.03.03,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Male,Chemistry,25,Third
12.02.03.05,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Male,Chemistry,21.75,Third
12.02.04.01,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,Biology,18.25,Consolation
12.02.05.06,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Female,Informatics,14.65,Consolation
12.02.05.05,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,Informatics,18.2,Consolation
12.02.05.03,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Male,Informatics,18.7,Consolation
12.02.05.02,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Male,Informatics,18.25,Consolation
12.02.06.01,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,Literature,12.5,Consolation
12.02.06.04,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,Literature,13.5,Third
12.02.07.04,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,History,11.5,Consolation
12.02.07.05,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,History,12.5,Consolation
12.02.08.02,2012,Ba Ria - Vung Tau,Vung_Tau_BaRiaVungTau,Grade 12,Kinh,Female,Geography,14.5,Third
12.02.09.09,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Male,English,14.35,Third
12.02.09.05,2012,Ba Ria - Vung Tau,Vung_Tau_BaRiaVungTau,Grade 11,Kinh,Male,English,13.8,Third
12.02.09.06,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Male,English,14.25,Third
12.02.09.10,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Female,English,13.15,Consolation
12.02.09.01,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 11,Kinh,Female,English,13.95,Third
12.02.09.08,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Male,English,12.8,Consolation
12.02.09.04,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,English,12.55,Consolation
12.02.09.03,2012,Ba Ria - Vung Tau,chuyen_Le_Quy_Don_BaRiaVungTau,Grade 12,Kinh,Female,English,12.8,Consolation
12.03.01.03,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Mathematics,13.5,Consolation
12.03.01.04,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Mathematics,14.5,Consolation
12.03.01.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Mathematics,16,Third
12.03.01.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Mathematics,12.5,Consolation
12.03.02.01,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Physics,18.75,Consolation
12.03.02.02,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Physics,21.75,Third
12.03.02.03,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Male,Physics,21.5,Third
12.03.02.04,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Physics,21.5,Third
12.03.02.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Physics,26.5,Second
12.03.02.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Physics,18,Consolation
12.03.03.01,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Chemistry,18.75,Consolation
12.03.03.02,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Chemistry,25,Third
12.03.03.03,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Chemistry,27.25,Second
12.03.03.04,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Male,Chemistry,19.5,Consolation
12.03.03.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Chemistry,20,Consolation
12.03.03.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Chemistry,21.75,Third
12.03.03.08,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Chemistry,19,Consolation
12.03.04.01,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Biology,21.25,Consolation
12.03.04.03,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Biology,20.25,Consolation
12.03.04.04,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Biology,23.75,Third
12.03.04.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Biology,21.5,Consolation
12.03.04.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Biology,26,Third
12.03.04.07,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Biology,23.5,Third
12.03.04.08,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Biology,20,Consolation
12.03.05.01,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Informatics,14.6,Consolation
12.03.05.02,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Informatics,14.55,Consolation
12.03.05.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Informatics,21.85,Third
12.03.06.01,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Literature,16.5,First
12.03.06.02,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Literature,14,Third
12.03.06.03,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Literature,15.5,Second
12.03.06.04,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Literature,14.5,Third
12.03.06.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Literature,14.5,Third
12.03.06.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,Literature,14.5,Third
12.03.06.07,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Literature,12.5,Consolation
12.03.06.08,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Literature,14.5,Third
12.03.07.04,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,History,13,Consolation
12.03.07.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,History,13.25,Third
12.03.07.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,History,14,Third
12.03.08.01,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,Geography,14,Third
12.03.08.02,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Geography,17.25,First
12.03.08.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Male,Geography,16,Second
12.03.08.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Male,Geography,14,Third
12.03.09.02,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,English,12.9,Consolation
12.03.09.04,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,English,13.4,Third
12.03.09.05,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 12,Kinh,Female,English,13.2,Consolation
12.03.09.06,2012,Bac Giang,chuyen_Bac_Giang_BacGiang,Grade 11,Kinh,Female,English,12.6,Consolation
